Feature 	 Val_totalreads 	 Coq_totalreads
PiuraChilensis_v1_contig_10351 	 3 	 0
PiuraChilensis_v1_contig_10352 	 18 	 11
PiuraChilensis_v1_contig_10353 	 0 	 7
PiuraChilensis_v1_contig_10354 	 5 	 4
PiuraChilensis_v1_contig_10355 	 0 	 4
PiuraChilensis_v1_contig_10356 	 6 	 2
PiuraChilensis_v1_contig_10357 	 2 	 3
PiuraChilensis_v1_contig_10358 	 10 	 5
PiuraChilensis_v1_contig_10359 	 13 	 7
PiuraChilensis_v1_contig_1036 	 169 	 159
PiuraChilensis_v1_contig_10360 	 16 	 16
PiuraChilensis_v1_contig_10361 	 8 	 9
PiuraChilensis_v1_contig_10362 	 17 	 10
PiuraChilensis_v1_contig_10363 	 13 	 10
PiuraChilensis_v1_contig_10364 	 9 	 13
PiuraChilensis_v1_contig_10365 	 60 	 41
PiuraChilensis_v1_contig_10366 	 7 	 21
PiuraChilensis_v1_contig_10367 	 4 	 0
PiuraChilensis_v1_contig_10368 	 19 	 12
PiuraChilensis_v1_contig_10369 	 19 	 25
PiuraChilensis_v1_contig_1037 	 7 	 16
PiuraChilensis_v1_contig_10370 	 16 	 4
PiuraChilensis_v1_contig_10371 	 2 	 3
PiuraChilensis_v1_contig_10372 	 15 	 19
PiuraChilensis_v1_contig_10373 	 8 	 9
PiuraChilensis_v1_contig_10374 	 1 	 7
PiuraChilensis_v1_contig_10375 	 2 	 4
PiuraChilensis_v1_contig_10376 	 4 	 4
PiuraChilensis_v1_contig_10377 	 10 	 10
PiuraChilensis_v1_contig_10378 	 3 	 2
PiuraChilensis_v1_contig_10379 	 5 	 6
PiuraChilensis_v1_contig_1038 	 90 	 98
PiuraChilensis_v1_contig_10380 	 34 	 26
PiuraChilensis_v1_contig_10381 	 16 	 13
PiuraChilensis_v1_contig_10382 	 1 	 3
PiuraChilensis_v1_contig_10383 	 1 	 1
PiuraChilensis_v1_contig_10384 	 4 	 2
PiuraChilensis_v1_contig_10385 	 2 	 2
PiuraChilensis_v1_contig_10386 	 7 	 4
PiuraChilensis_v1_contig_10387 	 6 	 6
PiuraChilensis_v1_contig_10388 	 3 	 8
PiuraChilensis_v1_contig_10389 	 9 	 7
PiuraChilensis_v1_contig_1039 	 34 	 31
PiuraChilensis_v1_contig_10390 	 2 	 1
PiuraChilensis_v1_contig_10391 	 0 	 2
PiuraChilensis_v1_contig_10392 	 6 	 11
PiuraChilensis_v1_contig_10393 	 5 	 10
PiuraChilensis_v1_contig_10394 	 6 	 13
PiuraChilensis_v1_contig_10395 	 2 	 2
PiuraChilensis_v1_contig_10396 	 2 	 7
PiuraChilensis_v1_contig_10397 	 12 	 12
PiuraChilensis_v1_contig_10398 	 12 	 10
PiuraChilensis_v1_contig_10399 	 1 	 2
PiuraChilensis_v1_contig_104 	 5 	 0
PiuraChilensis_v1_contig_1040 	 4 	 5
PiuraChilensis_v1_contig_10400 	 4 	 3
PiuraChilensis_v1_contig_10401 	 6 	 13
PiuraChilensis_v1_contig_10402 	 3 	 7
PiuraChilensis_v1_contig_10403 	 2 	 3
PiuraChilensis_v1_contig_10404 	 0 	 4
PiuraChilensis_v1_contig_10405 	 15 	 4
PiuraChilensis_v1_contig_10406 	 7 	 11
PiuraChilensis_v1_contig_10407 	 9 	 12
PiuraChilensis_v1_contig_10408 	 2 	 3
PiuraChilensis_v1_contig_10409 	 4 	 5
PiuraChilensis_v1_contig_1041 	 2 	 1
PiuraChilensis_v1_contig_10410 	 14 	 10
PiuraChilensis_v1_contig_10411 	 4 	 11
PiuraChilensis_v1_contig_10412 	 3 	 4
PiuraChilensis_v1_contig_10413 	 5 	 3
PiuraChilensis_v1_contig_10414 	 8 	 14
PiuraChilensis_v1_contig_10415 	 1 	 2
PiuraChilensis_v1_contig_10416 	 22 	 5
PiuraChilensis_v1_contig_10417 	 3 	 1
PiuraChilensis_v1_contig_10418 	 10 	 8
PiuraChilensis_v1_contig_10419 	 16 	 8
PiuraChilensis_v1_contig_1042 	 12 	 13
PiuraChilensis_v1_contig_10420 	 6 	 4
PiuraChilensis_v1_contig_10421 	 8 	 19
PiuraChilensis_v1_contig_10422 	 0 	 9
PiuraChilensis_v1_contig_10423 	 3 	 1
PiuraChilensis_v1_contig_10424 	 8 	 12
PiuraChilensis_v1_contig_10425 	 18 	 29
PiuraChilensis_v1_contig_10426 	 7 	 8
PiuraChilensis_v1_contig_10427 	 13 	 3
PiuraChilensis_v1_contig_10428 	 18 	 7
PiuraChilensis_v1_contig_10429 	 3 	 8
PiuraChilensis_v1_contig_1043 	 336 	 214
PiuraChilensis_v1_contig_10430 	 1 	 4
PiuraChilensis_v1_contig_10431 	 11 	 12
